StartTime,MeanTime,Group,Summary
1343434758,1343439965,1306,If I were anymore excited for the #olympics I'd do a #yurchenko in in my front yard! #teamUSA #gymnastics
1343434756,1343439970,1307,RT @ChurchMonica: Cant wait to watch USA diving and gymnastics #London2012 #Olympics #Excited
1343434751,1343439978,1308,Can't wait for tomorrow #London2012 #gymnastics in the Box Suite http://t.co/wS5COXDb
1343434741,1343439982,1309,I am so excited for swimming diving and artistic gymnastics!!! #Olympics
1343434730,1343439984,1310,RT @Drake_Rhymes: Can't wait for gymnastics somersault. Your girl on my pole vault. #London2012 #Olympics
1343434724,1343439998,1311,RT @typicalgymprobs: the only time I will leave my couch for the next few weeks is to get food and go to gymnastics #london2012 #typical ...
1343434707,1343440001,1312,RT @tailsmagazines: If only the 2012 #Olympics had kitty gymnastics! http://t.co/vfJR57D0
1343434698,1343440015,1313,Can't wait for opening ceremonies! #TeamUSA #London2012 #Olympics #gymnastics
1343434689,1343440022,1314,RT @NBCOlympics: US! RT @AAinsworthNBC: Who else can't wait for gymnastics to begin tomorrow!? #london2012 #gymnastics
1343434684,1343440025,1315,Can't wait to see this man in action at the Olympics! <3 #usa #gymnastics #olympics #rings #jonathan #horton http://t.co/VVlcxfXn
1343434683,1343440026,1316,RT @jessicapomroyOx: All I want to watch is the swimming diving athletics and gymnastics.. all the others can piss off #Olympics2012
1343434659,1343440034,1317,RT @typicalgymprobs: the only time I will leave my couch for the next few weeks is to get food and go to gymnastics #london2012 #typical ...
1343434657,1343440052,1318,@jayhere: waaaaaaw cant wait for diving and gymnastics #olympics yes i like tom daley
1343434648,1343440057,1319,RT @NBCOlympics: US! RT @AAinsworthNBC: Who else can't wait for gymnastics to begin tomorrow!? #london2012 #gymnastics
1343434646,1343440077,1320,RT @NBCOlympics: US! RT @AAinsworthNBC: Who else can't wait for gymnastics to begin tomorrow!? #london2012 #gymnastics
1343434629,1343440085,1321,I'm watching for gymnastics soccer and karate #london #Olympics what r u guys watching for:)?
1343434618,1343440109,1322,I'm really only excited for gymnastics. #olympics
1343434613,1343440140,1323,I only like gymnastics in summer and iceskating in winter otherwise it bores me. #Olympics2012
1343434606,1343440144,1324,RT @typicalgymprobs: the only time I will leave my couch for the next few weeks is to get food and go to gymnastics #london2012 #typical ...
1343434601,1343440150,1325,Can't wait for the gymnastics at the Olympics #London2012 @BGMediaTeam
1343434601,1343440155,1326,Even gymnastics@jola0302: Swimming ehen..? @Sho_007: U missing a lot more@jola0302: #Olympics = 100m 200m and 4x100m all odas r
1343434600,1343440171,1327,Only watching gymnastics in the #Olympics2012.
1343434583,1343440189,1328,RT @AAinsworthNBC: Who else can't wait for gymnastics to begin tomorrow!? #london2012 #gymnastics
1343434573,1343440198,1329,Looking forward to watching some women's gymnastics! #Olympics #TeamUSA
1343434570,1343440205,1330,So pumped for the Olympics to start! Women's gymnastics get in my life now! #london2012
1343434567,1343440206,1331,What is your favorite event at the Summer #Olympics to watch? Diving + gymnastics are faves here at UNO HQ. ^DG #Games
1343434566,1343440234,1332,RT @haleypolkxoxo: Can't wait to watch the gymnastics! #USA #Olympics
1343434564,1343440241,1333,RT @peytondaverson: So excited for the gymnastics part of the #Olympics2012
1343434558,1343440248,1334,RT @typicalgymprobs: the only time I will leave my couch for the next few weeks is to get food and go to gymnastics #london2012 #typical ...
1343434554,1343440270,1335,I only care about gymnastics and volleyball in the summer #Olympics
1343434553,1343440271,1336,5 hours & 9 minutes until the most wonderful time of every four years begins! #olympics. #london2012. #swimming. #diving. #gymnastics.
1343434546,1343440283,1337,footy o RT @Sho_007: Even gymnastics@jola0302: Swimming ehen..? @Sho_007: U missing a lot more@jola0302: #Olympics = 100m 200m and 4x10
1343434541,1343440289,1338,RT @BIG_WEBBER: LMAO@JRudisill73: #Olympics ima be in da 100 meter dash team USA basketball and gymnastics!!!
1343434537,1343440302,1339,gymnastics starts tomorrow!! (: #Olympics2012
1343434535,1343440308,1340,No this is not the only reason why I'm excited for the #Olympics: http://t.co/xMmEq72w ...I like gymnastics too. 😉😊👏👌👍🇺🇸🏊
1343434527,1343440312,1341,RT @NBCOlympics: US! RT @AAinsworthNBC: Who else can't wait for gymnastics to begin tomorrow!? #london2012 #gymnastics
1343434516,1343440315,1342,RT @AAinsworthNBC: Who else can't wait for gymnastics to begin tomorrow!? #london2012 #gymnastics
1343434511,1343440320,1343,RT @SweetnSassy__: I only care about gymnastics and volleyball in the summer #Olympics
1343434511,1343440328,1344,RT @jackiecolvett: Watching gymnastics videos from pervious Olympics. Can't wait for it to start! #London2012
1343434509,1343440351,1345,RT @NBCOlympics: US! RT @AAinsworthNBC: Who else can't wait for gymnastics to begin tomorrow!? #london2012 #gymnastics
1343434508,1343440361,1346,RT @AAinsworthNBC: Who else can't wait for gymnastics to begin tomorrow!? #london2012 #gymnastics
1343434506,1343440370,1347,Diving gymnastics and men's swimming. #Olympics
1343434504,1343440391,1348,gymnastics on sunday excited! #olympics2012
1343434493,1343440406,1349,RT @Tasha_Surry: Can't wait for the gymnastics at the Olympics #London2012 @BGMediaTeam
1343434480,1343440437,1350,RT @Gymnasticprblms: I don't think I'll be watching any other sports besides gymnastics during the #Olympics
1343434469,1343440445,1351,RT @KassidiH: Olympics start today I am so excited to watch gymnastics #London2012 #Olympics #OMGOMGOMGOMG #yessss #USA 🇺🇸🗼💙❤
1343434468,1343440487,1352,RT @AAinsworthNBC: Who else can't wait for gymnastics to begin tomorrow!? #london2012 #gymnastics
1343434467,1343440497,1353,RT @Tasha_Surry: Can't wait for the gymnastics at the Olympics #London2012 @BGMediaTeam
